name,code,population
Alba Iulia,AB,65091
Barabant,AB,2145
Micesti,AB,1420
Oarda,AB,1830
Paclisa,AB,682
Ciugud,AB,423
Drambar,AB,372
Limba,AB,290
Hapria,AB,507
Seusa,AB,606
Teleac,AB,385
Abrud,AB,4820
Abrud-Sat,AB,1355
Gura Cornei,AB,291
Soharu,AB,263
Aiud,AB,24619
Aiudul de Sus,AB,2276
Gambas,AB,578
Magina,AB,628
Pagida,AB,165
Ciumbrud,AB,1504
Garbova de Jos,AB,464
Garbova de Sus,AB,357
Garbovita,AB,164
Sancrai,AB,1023
Tifra,AB,116
Blaj,AB,15714
Deleni-Obarsie,AB,5
Flitesti,AB,4
Izvoarele,AB,2078
Petrisat,AB,316
Tiur,AB,1765
Veza,AB,1568
Manarade,AB,865
Spatac,AB,110
Campeni,AB,5704
Boncesti,AB,165
Borlesti,AB,141
Botesti,AB,158
Certege,AB,97
Coasta Vascului,AB,133
Dandut,AB,116
Dealu Bistrii,AB,122
Dealu Capsei,AB,318
Dric,AB,154
Fata Abrudului,AB,161
Floresti,AB,179
Furduiesti,AB,96
Mihoesti,AB,186
Motorasti,AB,108
Peste Valea Bistrii,AB,61
Poduri,AB,152
Sorlita,AB,35
Tomusesti,AB,85
Valea Bistrii,AB,379
Valea Caselor,AB,141
Varsi,AB,187
Cugir,AB,28780
Bocsitura,AB,87
Bucuru,AB,141
Calene,AB,121
Feteni,AB,119
Goasele,AB,37
Mugesti,AB,152
Vinerea,AB,2440
Ocna Mures,AB,11009
Uioara de Jos,AB,1345
Uioara de Sus,AB,1415
Cisteiu de Mures,AB,643
Micoslaca,AB,336
Razboieni-Cetate,AB,1508
Sebes,AB,23227
Lancram,AB,1487
Petresti,AB,4120
Rahau,AB,920
Zlatna,AB,4446
Botesti,AB,113
Budeni,AB,88
Dealu Roatei,AB,49
Dobrot,AB,30
Dumbrava,AB,16
Fenes,AB,1163
Galati,AB,465
Izvoru Ampoiului,AB,486
Patrangeni,AB,412
Pirita,AB,163
Parau Gruiului,AB,238
Podu lui Paul,AB,65
Runc,AB,52
Rusi,AB,66
Suseni,AB,168
Trampoiele,AB,593
Valea Mica,AB,517
Valtori,AB,261
Albac,AB,524
Barasti,AB,209
Budaiesti,AB,115
Cionesti,AB,119
Costesti,AB,150
Dealu Lamasoi,AB,263
Deve,AB,44
Dupa Plese,AB,174
Fata,AB,318
Plesesti,AB,71
Potionci,AB,88
Rogoz,AB,112
Rosesti,AB,65
Rusesti,AB,71
Sohodol,AB,37
Tamboresti,AB,43
Almasu Mare,AB,890
Almasu de Mijloc,AB,238
Bradet,AB,60
Cheile Cibului,AB,57
Cib,AB,401
Glod,AB,271
Nadastia,AB,227
Arieseni,AB,104
Avramesti,AB,56
Bubesti,AB,94
Casa de Piatra,AB,63
Cobles,AB,240
Dealu Bajului,AB,178
Fata Cristesei,AB,211
Fata Lapusului,AB,144
Galbena,AB,204
Hodobana,AB,69
Izlaz,AB,143
Pantesti,AB,124
Patrahaitesti,AB,83
Poienita,AB,67
Ravicesti,AB,34
Sturu,AB,75
Stei-Arieseni,AB,91
Vanvucesti,AB,37
Avram Iancu,AB,177
Achimetesti,AB,30
Avramesti,AB,34
Badai,AB,36
Boldesti,AB,14
Calugaresti,AB,113
Casoaia,AB,46
Candesti,AB,30
Carasti,AB,38
Cartulesti,AB,51
Cocesti,AB,93
Cocosesti,AB,29
Coroiesti,AB,62
Dealu Crisului,AB,9
Dolesti,AB,118
Dumacesti,AB,56
Gojeiesti,AB,62
Heleresti,AB,61
Incesti,AB,74
Jojei,AB,48
Martesti,AB,67
Orgesti,AB,75
Patrutesti,AB,65
Plai,AB,75
Puselesti,AB,21
Soicesti,AB,50
Stertesti,AB,13
Tarsa,AB,358
Tarsa-Plai,AB,33
Valea Maciului,AB,20
Valea Utului,AB,53
Verdesti,AB,100
Vidrisoara,AB,106
Baia de Aries,AB,3521
Brazesti,AB,315
Cioara de Sus,AB,303
Muncelu,AB,421
Sartas,AB,490
Simulesti,AB,11
Berghin,AB,652
Ghirbom,AB,696
Henig,AB,503
Straja,AB,409
Bistra,AB,1597
Aronesti,AB,12
Balesti,AB,38
Balesti-Catun,AB,85
Barlesti,AB,81
Cheleteni,AB,30
Ciuldesti,AB,284
Cretesti,AB,220
Dealu Muntelui,AB,265
Dambureni,AB,70
Durasti,AB,84
Ganesti,AB,150
Garde,AB,437
Hodisesti,AB,322
Hudricesti,AB,145
Lipaia,AB,198
Lunca Larga,AB,125
Lunca Merilor,AB,154
Mihaiesti,AB,57
Namas,AB,73
Novacesti,AB,52
Perjesti,AB,21
Poiana,AB,116
Poiu,AB,63
Ratitis,AB,120
Runcuri,AB,20
Salagesti,AB,48
Stefanca,AB,52
Tolacesti,AB,56
Tomnatec,AB,20
Trisoresti,AB,154
Taranesti,AB,50
Varsi-Rontu,AB,33
Varsii Mari,AB,19
Varsii Mici,AB,110
Blandiana,AB,673
Acmariu,AB,503
Ibru,AB,9
Poieni,AB,16
Racatau,AB,51
Bucium,AB,119
Anghelesti,AB,91
Bisericani,AB,39
Bucium-Sat,AB,204
Cerbu,AB,126
Ciuculesti,AB,68
Coleseni,AB,79
Dogaresti,AB,21
Feresti,AB,45
Floresti,AB,27
Gura Izbitei,AB,35
Helesti,AB,34
Izbicioara,AB,22
Izbita,AB,73
Jurcuiesti,AB,10
Lupulesti,AB,45
Magura,AB,33
Muntari,AB,11
Petreni,AB,10
Poiana,AB,35
Poieni,AB,143
Stalnisoara,AB,28
Valea Abruzel,AB,146
Valea Alba,AB,117
Valea Cerbului,AB,89
Valea Negrilesii,AB,133
Valea Poienii,AB,47
Valea Sesii,AB,219
Valeni,AB,21
Valcea,AB,45
Cenade,AB,1099
Capu Dealului,AB,11
Gorgan,AB,23
Cergau Mare,AB,1037
Cergau Mic,AB,382
Lupu,AB,375
Ceru-Bacainti,AB,88
Bolovanesti,AB,26
Bulbuc,AB,51
Cucuta,AB,68
Curpeni,AB,54
Dumbravita,AB,56
Fantanele,AB,45
Grosi,AB,47
Valea Mare,AB,42
Viezuri,AB,17
Cetatea de Balta,AB,2031
Craciunelu de Sus,AB,259
Santamarie,AB,348
Tatarlaua,AB,785
Ciuruleasa,AB,618
Bidigesti,AB,37
Bodresti,AB,57
Boglesti,AB,156
Buninginea,AB,143
Ghedulesti,AB,100
Matisesti,AB,179
Moraresti,AB,197
Vulcan,AB,112
Calnic,AB,1209
Cut,AB,1391
Deal,AB,515
Cricau,AB,1191
Craiva,AB,376
Tibru,AB,441
Craciunelu de Jos,AB,2028
Bucerdea Granoasa,AB,2198
Cornu,AB,33
Padure,AB,42
Panca,AB,25
Daia Romana,AB,3080
Dostat,AB,623
Boz,AB,371
Dealu Dostatului,AB,24
